Source	Target	features0
75	44	1.0
76	4	1.0
76	13	1.0
77	25	1.0
77	42	1.0
78	8	1.0
78	48	1.0
79	56	1.0
79	50	1.0
80	9	1.0
80	4	1.0
81	9	1.0
81	67	1.0
82	81	1.0
82	34	1.0
83	2	1.0
83	23	1.0
84	12	1.0
84	29	1.0
85	24	1.0
85	55	1.0
86	11	1.0
86	54	1.0
87	49	1.0
87	11	1.0
88	1	1.0
88	41	1.0
89	12	1.0
89	13	1.0
90	67	1.0
90	30	1.0
91	5	1.0
91	7	1.0
92	87	1.0
92	79	1.0
93	41	1.0
93	34	1.0
94	5	1.0
94	86	1.0
95	67	1.0
95	86	1.0
96	5	1.0
96	87	1.0
97	18	1.0
97	6	1.0
98	59	1.0
98	70	1.0
99	29	1.0
99	13	1.0
100	12	1.0
100	44	1.0
101	57	1.0
101	17	1.0
102	2	1.0
102	14	1.0
103	98	1.0
103	2	1.0
104	2	1.0
104	5	1.0
105	3	1.0
105	5	1.0
106	67	1.0
106	22	1.0
107	12	1.0
107	31	1.0
108	0	1.0
108	14	1.0
109	62	1.0
109	23	1.0
110	49	1.0
110	66	1.0
111	42	1.0
111	87	1.0
112	4	1.0
112	7	1.0
113	2	1.0
113	67	1.0
114	19	1.0
114	67	1.0
115	17	1.0
115	44	1.0
116	4	1.0
116	87	1.0
117	37	1.0
117	47	1.0
118	51	1.0
118	87	1.0
119	96	1.0
119	1	1.0
120	5	1.0
120	31	1.0
121	2	1.0
121	51	1.0
122	120	1.0
122	62	1.0
123	3	1.0
123	46	1.0
124	20	1.0
124	78	1.0
125	57	1.0
125	27	1.0
126	98	1.0
126	35	1.0
127	12	1.0
127	119	1.0
128	27	1.0
128	47	1.0
129	77	1.0
129	103	1.0
130	17	1.0
130	19	1.0
131	106	1.0
131	2	1.0
132	106	1.0
132	84	1.0
133	89	1.0
133	11	1.0
134	11	1.0
134	45	1.0
135	3	1.0
135	125	1.0
136	51	1.0
136	95	1.0
137	1	1.0
137	55	1.0
138	66	1.0
138	12	1.0
139	83	1.0
139	55	1.0
140	2	1.0
140	20	1.0
141	72	1.0
141	69	1.0
142	80	1.0
142	125	1.0
143	12	1.0
143	7	1.0
144	128	1.0
144	61	1.0
145	67	1.0
145	12	1.0
146	67	1.0
146	116	1.0
147	90	1.0
147	95	1.0
148	32	1.0
148	33	1.0
149	123	1.0
149	13	1.0
150	144	1.0
150	149	1.0
151	82	1.0
151	119	1.0
152	104	1.0
152	92	1.0
153	67	1.0
153	46	1.0
154	11	1.0
154	79	1.0
155	17	1.0
155	21	1.0
156	128	1.0
156	71	1.0
157	83	1.0
157	31	1.0
158	104	1.0
158	22	1.0
159	99	1.0
159	59	1.0
160	11	1.0
160	36	1.0
161	74	1.0
161	11	1.0
162	59	1.0
162	95	1.0
163	56	1.0
163	1	1.0
164	134	1.0
164	127	1.0
165	58	1.0
165	29	1.0
166	81	1.0
166	43	1.0
167	77	1.0
167	6	1.0
168	2	1.0
168	5	1.0
169	145	1.0
169	131	1.0
170	41	1.0
170	159	1.0
171	162	1.0
171	14	1.0
172	1	1.0
172	125	1.0
173	67	1.0
173	22	1.0
174	65	1.0
174	150	1.0
175	50	1.0
175	29	1.0
176	121	1.0
176	12	1.0
177	125	1.0
177	103	1.0
178	1	1.0
178	87	1.0
179	89	1.0
179	3	1.0
180	96	1.0
180	48	1.0
181	145	1.0
181	49	1.0
182	1	1.0
182	82	1.0
183	58	1.0
183	53	1.0
184	129	1.0
184	99	1.0
185	5	1.0
185	93	1.0
186	120	1.0
186	66	1.0
187	70	1.0
187	103	1.0
188	132	1.0
188	12	1.0
189	2	1.0
189	31	1.0
190	120	1.0
190	5	1.0
191	1	1.0
191	182	1.0
192	157	1.0
192	78	1.0
193	56	1.0
193	77	1.0
194	0	1.0
194	149	1.0
195	56	1.0
195	151	1.0
196	106	1.0
196	19	1.0
197	82	1.0
197	69	1.0
198	85	1.0
198	54	1.0
199	33	1.0
199	195	1.0
200	2	1.0
200	47	1.0
201	83	1.0
201	37	1.0
202	130	1.0
202	172	1.0
203	81	1.0
203	67	1.0
204	3	1.0
204	67	1.0
205	1	1.0
205	31	1.0
206	42	1.0
206	45	1.0
207	185	1.0
207	203	1.0
208	42	1.0
208	76	1.0
209	4	1.0
209	15	1.0
210	49	1.0
210	9	1.0
211	8	1.0
211	11	1.0
212	21	1.0
212	206	1.0
213	108	1.0
213	47	1.0
214	92	1.0
214	12	1.0
215	209	1.0
215	11	1.0
216	8	1.0
216	7	1.0
217	4	1.0
217	87	1.0
218	9	1.0
218	83	1.0
219	121	1.0
219	76	1.0
220	19	1.0
220	35	1.0
221	0	1.0
221	25	1.0
222	10	1.0
222	4	1.0
223	11	1.0
223	150	1.0
224	12	1.0
224	127	1.0
225	134	1.0
225	150	1.0
226	169	1.0
226	14	1.0
227	219	1.0
227	196	1.0
228	205	1.0
228	126	1.0
229	76	1.0
229	5	1.0
230	11	1.0
230	173	1.0
231	10	1.0
231	13	1.0
232	116	1.0
232	13	1.0
233	22	1.0
233	191	1.0
234	96	1.0
234	70	1.0
235	1	1.0
235	21	1.0
236	40	1.0
236	95	1.0
237	11	1.0
237	77	1.0
238	1	1.0
238	76	1.0
239	185	1.0
239	37	1.0
240	145	1.0
240	1	1.0
241	4	1.0
241	167	1.0
242	49	1.0
242	204	1.0
243	0	1.0
243	8	1.0
244	122	1.0
244	158	1.0
245	37	1.0
245	135	1.0
246	92	1.0
246	13	1.0
247	142	1.0
247	46	1.0
248	40	1.0
248	2	1.0
249	176	1.0
249	204	1.0
250	16	1.0
250	61	1.0
251	121	1.0
251	228	1.0
252	5	1.0
252	151	1.0
253	25	1.0
253	27	1.0
254	193	1.0
254	60	1.0
255	233	1.0
255	29	1.0
256	96	1.0
256	24	1.0
257	228	1.0
257	7	1.0
258	5	1.0
258	47	1.0
259	19	1.0
259	247	1.0
260	161	1.0
260	27	1.0
261	4	1.0
261	95	1.0
262	67	1.0
262	14	1.0
263	2	1.0
263	7	1.0
264	72	1.0
264	43	1.0
265	8	1.0
265	3	1.0
266	77	1.0
266	263	1.0
267	162	1.0
267	5	1.0
268	169	1.0
268	7	1.0
269	17	1.0
269	253	1.0
270	83	1.0
270	166	1.0
271	89	1.0
271	153	1.0
272	51	1.0
272	157	1.0
273	207	1.0
273	7	1.0
274	26	1.0
274	163	1.0
275	205	1.0
275	5	1.0
276	8	1.0
276	110	1.0
277	200	1.0
277	204	1.0
278	21	1.0
278	223	1.0
279	99	1.0
279	31	1.0
280	30	1.0
280	31	1.0
281	0	1.0
281	162	1.0
282	177	1.0
282	198	1.0
283	168	1.0
283	7	1.0
284	35	1.0
284	38	1.0
285	12	1.0
285	6	1.0
286	29	1.0
286	150	1.0
287	264	1.0
287	130	1.0
288	66	1.0
288	261	1.0
289	168	1.0
289	160	1.0
290	54	1.0
290	7	1.0
291	253	1.0
291	110	1.0
292	3	1.0
292	269	1.0
293	11	1.0
293	14	1.0
294	291	1.0
294	95	1.0
295	116	1.0
295	77	1.0
296	265	1.0
296	116	1.0
297	56	1.0
297	27	1.0
298	49	1.0
298	281	1.0
299	233	1.0
299	109	1.0
300	153	1.0
300	17	1.0
301	48	1.0
301	121	1.0
302	96	1.0
302	263	1.0
303	11	1.0
303	279	1.0
304	274	1.0
304	102	1.0
305	1	1.0
305	237	1.0
306	59	1.0
306	5	1.0
307	0	1.0
307	31	1.0
308	11	1.0
308	183	1.0
309	37	1.0
309	173	1.0
310	301	1.0
310	38	1.0
311	33	1.0
311	98	1.0
312	16	1.0
312	29	1.0
313	42	1.0
313	123	1.0
314	99	1.0
314	87	1.0
315	25	1.0
315	205	1.0
316	17	1.0
316	39	1.0
317	273	1.0
317	23	1.0
318	75	1.0
318	5	1.0
319	35	1.0
319	243	1.0
320	301	1.0
320	247	1.0
321	46	1.0
321	199	1.0
322	64	1.0
322	132	1.0
323	93	1.0
323	173	1.0
324	156	1.0
324	87	1.0
325	154	1.0
325	4	1.0
326	104	1.0
326	87	1.0
327	185	1.0
327	2	1.0
328	291	1.0
328	31	1.0
329	290	1.0
329	5	1.0
330	248	1.0
330	237	1.0
331	263	1.0
331	191	1.0
332	304	1.0
332	2	1.0
333	11	1.0
333	132	1.0
334	236	1.0
334	95	1.0
335	17	1.0
335	66	1.0
336	281	1.0
336	257	1.0
337	11	1.0
337	77	1.0
338	29	1.0
338	78	1.0
339	36	1.0
339	263	1.0
340	4	1.0
340	221	1.0
341	219	1.0
341	239	1.0
342	11	1.0
342	155	1.0
343	315	1.0
343	303	1.0
344	129	1.0
344	116	1.0
345	12	1.0
345	61	1.0
346	160	1.0
346	209	1.0
347	290	1.0
347	87	1.0
348	116	1.0
348	77	1.0
349	40	1.0
349	115	1.0
350	312	1.0
350	93	1.0
351	115	1.0
351	7	1.0
352	347	1.0
352	36	1.0
353	348	1.0
353	12	1.0
354	56	1.0
354	79	1.0
355	144	1.0
355	76	1.0
356	44	1.0
356	4	1.0
357	2	1.0
357	77	1.0
358	274	1.0
358	277	1.0
359	57	1.0
359	29	1.0
360	225	1.0
360	51	1.0
361	58	1.0
361	287	1.0
362	230	1.0
362	39	1.0
363	10	1.0
363	326	1.0
364	83	1.0
364	101	1.0
365	328	1.0
365	77	1.0
366	161	1.0
366	95	1.0
367	184	1.0
367	8	1.0
368	232	1.0
368	300	1.0
369	2	1.0
369	243	1.0
370	162	1.0
370	37	1.0
371	254	1.0
371	359	1.0
372	169	1.0
372	37	1.0
373	166	1.0
373	327	1.0
374	233	1.0
374	123	1.0
375	219	1.0
375	54	1.0
376	285	1.0
376	302	1.0
377	67	1.0
377	127	1.0
378	160	1.0
378	7	1.0
379	9	1.0
379	37	1.0
380	2	1.0
380	77	1.0
381	235	1.0
381	302	1.0
382	334	1.0
382	7	1.0
383	11	1.0
383	14	1.0
384	58	1.0
384	27	1.0
385	1	1.0
385	300	1.0
386	12	1.0
386	7	1.0
387	289	1.0
387	7	1.0
388	56	1.0
388	14	1.0
389	314	1.0
389	242	1.0
390	8	1.0
390	67	1.0
391	169	1.0
391	67	1.0
392	160	1.0
392	192	1.0
393	62	1.0
393	14	1.0
394	392	1.0
394	46	1.0
395	51	1.0
395	374	1.0
396	4	1.0
396	77	1.0
397	388	1.0
397	4	1.0
398	113	1.0
398	5	1.0
399	104	1.0
399	371	1.0
400	248	1.0
400	334	1.0
401	57	1.0
401	290	1.0
402	156	1.0
402	37	1.0
403	81	1.0
403	361	1.0
404	59	1.0
404	78	1.0
405	3	1.0
405	4	1.0
406	123	1.0
406	183	1.0
407	42	1.0
407	180	1.0
408	42	1.0
408	295	1.0
409	40	1.0
409	405	1.0
410	106	1.0
410	139	1.0
411	0	1.0
411	180	1.0
412	67	1.0
412	4	1.0
413	83	1.0
413	5	1.0
414	105	1.0
414	122	1.0
415	140	1.0
415	317	1.0
416	1	1.0
416	87	1.0
417	90	1.0
417	110	1.0
418	42	1.0
418	29	1.0
419	56	1.0
419	5	1.0
420	75	1.0
420	11	1.0
421	102	1.0
421	6	1.0
422	66	1.0
422	389	1.0
423	35	1.0
423	7	1.0
424	224	1.0
424	3	1.0
425	25	1.0
425	87	1.0
426	35	1.0
426	102	1.0
427	3	1.0
427	359	1.0
428	137	1.0
428	426	1.0
429	11	1.0
429	101	1.0
430	2	1.0
430	293	1.0
431	11	1.0
431	86	1.0
432	5	1.0
432	54	1.0
433	45	1.0
433	127	1.0
434	361	1.0
434	133	1.0
435	7	1.0
435	119	1.0
436	115	1.0
436	277	1.0
437	373	1.0
437	63	1.0
438	203	1.0
438	167	1.0
439	62	1.0
439	47	1.0
440	153	1.0
440	14	1.0
441	83	1.0
441	13	1.0
442	13	1.0
442	254	1.0
443	4	1.0
443	245	1.0
444	209	1.0
444	29	1.0
445	138	1.0
445	423	1.0
446	5	1.0
446	14	1.0
447	51	1.0
447	237	1.0
448	152	1.0
448	83	1.0
449	146	1.0
449	55	1.0
450	123	1.0
450	268	1.0
451	53	1.0
451	22	1.0
452	162	1.0
452	51	1.0
453	166	1.0
453	239	1.0
454	33	1.0
454	14	1.0
455	49	1.0
455	347	1.0
456	76	1.0
456	205	1.0
457	130	1.0
457	29	1.0
458	54	1.0
458	23	1.0
459	372	1.0
459	406	1.0
460	81	1.0
460	452	1.0
461	409	1.0
461	51	1.0
462	2	1.0
462	29	1.0
463	88	1.0
463	172	1.0
464	435	1.0
464	287	1.0
465	45	1.0
465	375	1.0
466	81	1.0
466	279	1.0
467	218	1.0
467	444	1.0
468	120	1.0
468	34	1.0
469	283	1.0
469	414	1.0
470	209	1.0
470	4	1.0
471	0	1.0
471	269	1.0
472	105	1.0
472	269	1.0
473	98	1.0
473	436	1.0
474	283	1.0
474	206	1.0
475	368	1.0
475	90	1.0
476	1	1.0
476	207	1.0
477	168	1.0
477	13	1.0
478	440	1.0
478	7	1.0
479	344	1.0
479	13	1.0
480	1	1.0
480	3	1.0
481	359	1.0
481	199	1.0
482	144	1.0
482	59	1.0
483	32	1.0
483	9	1.0
484	83	1.0
484	91	1.0
485	21	1.0
485	447	1.0
486	106	1.0
486	79	1.0
487	92	1.0
487	167	1.0
488	42	1.0
488	35	1.0
489	112	1.0
489	67	1.0
490	5	1.0
490	383	1.0
491	303	1.0
491	319	1.0
492	131	1.0
492	236	1.0
493	46	1.0
493	198	1.0
494	321	1.0
494	395	1.0
495	258	1.0
495	484	1.0
496	20	1.0
496	54	1.0
497	453	1.0
497	23	1.0
498	472	1.0
498	230	1.0
499	49	1.0
499	33	1.0
500	315	1.0
500	67	1.0
501	193	1.0
501	76	1.0
502	96	1.0
502	334	1.0
503	67	1.0
503	460	1.0
504	96	1.0
504	6	1.0
505	8	1.0
505	93	1.0
506	136	1.0
506	87	1.0
507	273	1.0
507	85	1.0
508	1	1.0
508	227	1.0
509	410	1.0
509	84	1.0
510	130	1.0
510	83	1.0
511	243	1.0
511	220	1.0
512	40	1.0
512	31	1.0
513	13	1.0
513	63	1.0
514	12	1.0
514	300	1.0
515	372	1.0
515	359	1.0
516	159	1.0
516	87	1.0
517	3	1.0
517	67	1.0
518	83	1.0
518	7	1.0
519	206	1.0
519	494	1.0
520	9	1.0
520	517	1.0
521	283	1.0
521	4	1.0
522	272	1.0
522	274	1.0
523	329	1.0
523	1	1.0
524	57	1.0
524	35	1.0
525	59	1.0
525	180	1.0
526	57	1.0
526	386	1.0
527	24	1.0
527	31	1.0
528	275	1.0
528	340	1.0
529	273	1.0
529	205	1.0
530	75	1.0
530	148	1.0
531	12	1.0
531	239	1.0
532	4	1.0
532	6	1.0
533	25	1.0
533	2	1.0
534	120	1.0
534	2	1.0
535	224	1.0
535	31	1.0
536	85	1.0
536	438	1.0
537	42	1.0
537	30	1.0
538	12	1.0
538	125	1.0
539	370	1.0
539	15	1.0
540	373	1.0
540	317	1.0
541	73	1.0
541	406	1.0
542	132	1.0
542	22	1.0
543	113	1.0
543	7	1.0
544	221	1.0
544	359	1.0
545	468	1.0
545	44	1.0
546	354	1.0
546	7	1.0
547	354	1.0
547	58	1.0
548	322	1.0
548	173	1.0
549	201	1.0
549	130	1.0
550	139	1.0
550	22	1.0
551	33	1.0
551	293	1.0
552	13	1.0
552	78	1.0
553	472	1.0
553	97	1.0
554	385	1.0
554	6	1.0
555	344	1.0
555	145	1.0
556	395	1.0
556	507	1.0
557	544	1.0
557	473	1.0
558	16	1.0
558	95	1.0
559	500	1.0
559	332	1.0
560	321	1.0
560	205	1.0
561	138	1.0
561	414	1.0
562	98	1.0
562	150	1.0
563	0	1.0
563	49	1.0
564	320	1.0
564	7	1.0
565	4	1.0
565	183	1.0
566	253	1.0
566	126	1.0
567	241	1.0
567	378	1.0
568	533	1.0
568	438	1.0
569	19	1.0
569	119	1.0
570	398	1.0
570	54	1.0
571	128	1.0
571	354	1.0
572	147	1.0
572	20	1.0
573	46	1.0
573	22	1.0
574	25	1.0
574	547	1.0
575	162	1.0
575	133	1.0
576	0	1.0
576	185	1.0
577	27	1.0
577	15	1.0
578	130	1.0
578	331	1.0
579	255	1.0
579	191	1.0
580	282	1.0
580	356	1.0
581	1	1.0
581	66	1.0
582	1	1.0
582	4	1.0
583	541	1.0
583	13	1.0
584	412	1.0
584	423	1.0
585	492	1.0
585	119	1.0
586	83	1.0
586	341	1.0
587	2	1.0
587	430	1.0
588	24	1.0
588	84	1.0
589	341	1.0
589	87	1.0
590	3	1.0
590	525	1.0
591	116	1.0
591	125	1.0
592	515	1.0
592	149	1.0
593	2	1.0
593	77	1.0
594	248	1.0
594	344	1.0
595	576	1.0
595	145	1.0
596	46	1.0
596	87	1.0
597	5	1.0
597	213	1.0
598	48	1.0
598	77	1.0
599	242	1.0
599	165	1.0
600	204	1.0
600	206	1.0
601	184	1.0
601	430	1.0
602	333	1.0
602	230	1.0
603	289	1.0
603	275	1.0
604	410	1.0
604	315	1.0
605	168	1.0
605	99	1.0
606	49	1.0
606	374	1.0
607	113	1.0
607	35	1.0
608	253	1.0
608	6	1.0
609	2	1.0
609	90	1.0
610	253	1.0
610	207	1.0
611	41	1.0
611	454	1.0
612	67	1.0
612	238	1.0
613	145	1.0
613	44	1.0
614	2	1.0
614	77	1.0
615	416	1.0
615	112	1.0
616	162	1.0
616	13	1.0
617	256	1.0
617	11	1.0
618	328	1.0
618	119	1.0
619	427	1.0
619	5	1.0
620	218	1.0
620	7	1.0
621	368	1.0
621	292	1.0
622	388	1.0
622	29	1.0
623	105	1.0
623	2	1.0
624	0	1.0
624	36	1.0
625	580	1.0
625	12	1.0
626	29	1.0
626	94	1.0
627	384	1.0
627	4	1.0
628	85	1.0
628	102	1.0
629	233	1.0
629	206	1.0
630	3	1.0
630	574	1.0
631	153	1.0
631	391	1.0
632	1	1.0
632	12	1.0
633	190	1.0
633	286	1.0
634	395	1.0
634	5	1.0
635	290	1.0
635	548	1.0
636	56	1.0
636	24	1.0
637	10	1.0
637	547	1.0
638	2	1.0
638	27	1.0
639	253	1.0
639	207	1.0
640	412	1.0
640	7	1.0
641	126	1.0
641	31	1.0
642	436	1.0
642	414	1.0
643	370	1.0
643	247	1.0
644	355	1.0
644	12	1.0
645	56	1.0
645	12	1.0
646	11	1.0
646	155	1.0
647	11	1.0
647	116	1.0
648	42	1.0
648	435	1.0
649	546	1.0
649	222	1.0
650	552	1.0
650	5	1.0
651	361	1.0
651	2	1.0
652	235	1.0
652	439	1.0
653	109	1.0
653	102	1.0
654	65	1.0
654	236	1.0
655	356	1.0
655	4	1.0
656	3	1.0
656	125	1.0
657	498	1.0
657	58	1.0
658	274	1.0
658	172	1.0
659	484	1.0
659	389	1.0
660	190	1.0
660	63	1.0
661	435	1.0
661	199	1.0
662	76	1.0
662	39	1.0
663	300	1.0
663	31	1.0
664	1	1.0
664	77	1.0
665	134	1.0
665	335	1.0
666	394	1.0
666	71	1.0
667	105	1.0
667	14	1.0
668	64	1.0
668	46	1.0
669	179	1.0
669	31	1.0
670	32	1.0
670	66	1.0
671	526	1.0
671	119	1.0
672	304	1.0
672	518	1.0
673	35	1.0
673	508	1.0
674	490	1.0
674	122	1.0
675	409	1.0
675	31	1.0
676	13	1.0
676	207	1.0
677	266	1.0
677	315	1.0
678	219	1.0
678	12	1.0
679	427	1.0
679	622	1.0
680	115	1.0
680	388	1.0
681	521	1.0
681	292	1.0
682	35	1.0
682	278	1.0
683	665	1.0
683	292	1.0
684	67	1.0
684	12	1.0
685	451	1.0
685	60	1.0
686	85	1.0
686	598	1.0
687	36	1.0
687	414	1.0
688	262	1.0
688	87	1.0
689	115	1.0
689	551	1.0
690	200	1.0
690	108	1.0
691	41	1.0
691	77	1.0
692	572	1.0
692	126	1.0
693	468	1.0
693	165	1.0
694	37	1.0
694	14	1.0
695	417	1.0
695	63	1.0
696	70	1.0
696	7	1.0
697	249	1.0
697	23	1.0
698	128	1.0
698	5	1.0
699	106	1.0
699	204	1.0
700	57	1.0
700	43	1.0
701	37	1.0
701	39	1.0
702	154	1.0
702	53	1.0
703	273	1.0
703	102	1.0
704	264	1.0
704	236	1.0
705	627	1.0
705	476	1.0
706	210	1.0
706	5	1.0
707	56	1.0
707	170	1.0
708	208	1.0
708	151	1.0
709	192	1.0
709	525	1.0
710	1	1.0
710	300	1.0
711	289	1.0
711	251	1.0
712	249	1.0
712	467	1.0
713	203	1.0
713	631	1.0
714	170	1.0
714	106	1.0
715	691	1.0
715	13	1.0
716	56	1.0
716	34	1.0
717	2	1.0
717	93	1.0
718	266	1.0
718	381	1.0
719	219	1.0
719	598	1.0
720	8	1.0
720	280	1.0
721	227	1.0
721	167	1.0
722	11	1.0
722	179	1.0
723	394	1.0
723	148	1.0
724	179	1.0
724	55	1.0
725	176	1.0
725	48	1.0
726	547	1.0
726	540	1.0
727	1	1.0
727	4	1.0
728	340	1.0
728	110	1.0
729	304	1.0
729	349	1.0
730	371	1.0
730	14	1.0
731	237	1.0
731	110	1.0
732	240	1.0
732	397	1.0
733	22	1.0
733	279	1.0
734	304	1.0
734	500	1.0
735	37	1.0
735	703	1.0
736	617	1.0
736	206	1.0
737	66	1.0
737	494	1.0
738	158	1.0
738	14	1.0
739	332	1.0
739	342	1.0
740	544	1.0
740	43	1.0
741	652	1.0
741	317	1.0
742	389	1.0
742	198	1.0
743	203	1.0
743	13	1.0
744	508	1.0
744	292	1.0
745	40	1.0
745	509	1.0
746	83	1.0
746	12	1.0
747	11	1.0
747	12	1.0
748	400	1.0
748	227	1.0
749	67	1.0
749	372	1.0
750	406	1.0
750	239	1.0
751	82	1.0
751	5	1.0
752	77	1.0
752	582	1.0
753	384	1.0
753	86	1.0
754	477	1.0
754	238	1.0
755	4	1.0
755	391	1.0
756	289	1.0
756	1	1.0
757	57	1.0
757	11	1.0
758	96	1.0
758	106	1.0
759	190	1.0
759	55	1.0
760	332	1.0
760	661	1.0
761	8	1.0
761	632	1.0
762	310	1.0
762	62	1.0
763	531	1.0
763	7	1.0
764	253	1.0
764	303	1.0
765	435	1.0
765	171	1.0
766	330	1.0
766	238	1.0
767	2	1.0
767	29	1.0
768	209	1.0
768	742	1.0
769	205	1.0
769	14	1.0
770	604	1.0
770	334	1.0
771	224	1.0
771	116	1.0
772	90	1.0
772	84	1.0
773	452	1.0
773	5	1.0
774	665	1.0
774	575	1.0
775	35	1.0
775	767	1.0
776	11	1.0
776	7	1.0
777	180	1.0
777	500	1.0
778	453	1.0
778	54	1.0
779	1	1.0
779	2	1.0
780	2	1.0
780	422	1.0
781	92	1.0
781	422	1.0
782	224	1.0
782	95	1.0
783	524	1.0
783	287	1.0
784	348	1.0
784	245	1.0
785	12	1.0
785	236	1.0
786	67	1.0
786	37	1.0
787	8	1.0
787	35	1.0
788	561	1.0
788	357	1.0
789	248	1.0
789	9	1.0
790	11	1.0
790	3	1.0
791	37	1.0
791	133	1.0
792	204	1.0
792	276	1.0
793	49	1.0
793	596	1.0
794	361	1.0
794	106	1.0
795	414	1.0
795	303	1.0
796	40	1.0
796	11	1.0
797	321	1.0
797	244	1.0
798	248	1.0
798	7	1.0
799	461	1.0
799	14	1.0
800	2	1.0
800	263	1.0
801	337	1.0
801	297	1.0
802	176	1.0
802	7	1.0
803	662	1.0
803	71	1.0
804	170	1.0
804	79	1.0
805	408	1.0
805	755	1.0
806	283	1.0
806	36	1.0
807	225	1.0
807	244	1.0
808	636	1.0
808	799	1.0
809	392	1.0
809	76	1.0
810	49	1.0
810	694	1.0
811	377	1.0
811	204	1.0
812	25	1.0
812	47	1.0
813	24	1.0
813	205	1.0
814	35	1.0
814	29	1.0
815	801	1.0
815	751	1.0
816	386	1.0
816	59	1.0
817	83	1.0
817	790	1.0
818	249	1.0
818	5	1.0
819	733	1.0
819	511	1.0
820	56	1.0
820	195	1.0
821	449	1.0
821	12	1.0
822	4	1.0
822	756	1.0
823	418	1.0
823	631	1.0
824	601	1.0
824	25	1.0
825	281	1.0
825	36	1.0
826	788	1.0
826	247	1.0
827	760	1.0
827	359	1.0
828	221	1.0
828	542	1.0
829	274	1.0
829	59	1.0
830	111	1.0
830	87	1.0
831	178	1.0
831	562	1.0
832	90	1.0
832	310	1.0
833	576	1.0
833	767	1.0
834	51	1.0
834	31	1.0
835	31	1.0
835	7	1.0
836	35	1.0
836	461	1.0
837	97	1.0
837	172	1.0
838	245	1.0
838	287	1.0
839	1	1.0
839	437	1.0
840	602	1.0
840	31	1.0
841	211	1.0
841	179	1.0
842	840	1.0
842	40	1.0
843	272	1.0
843	402	1.0
844	40	1.0
844	517	1.0
845	728	1.0
845	26	1.0
846	12	1.0
846	47	1.0
847	513	1.0
847	123	1.0
848	121	1.0
848	33	1.0
849	33	1.0
849	134	1.0
850	196	1.0
850	204	1.0
851	392	1.0
851	5	1.0
852	848	1.0
852	753	1.0
853	104	1.0
853	36	1.0
854	115	1.0
854	359	1.0
855	11	1.0
855	436	1.0
856	192	1.0
856	76	1.0
857	8	1.0
857	427	1.0
858	553	1.0
858	406	1.0
859	169	1.0
859	757	1.0
860	348	1.0
860	7	1.0
861	26	1.0
861	628	1.0
862	2	1.0
862	13	1.0
863	529	1.0
863	563	1.0
864	161	1.0
864	12	1.0
865	616	1.0
865	292	1.0
866	160	1.0
866	745	1.0
867	0	1.0
867	2	1.0
868	788	1.0
868	398	1.0
869	2	1.0
869	102	1.0
870	4	1.0
870	5	1.0
871	37	1.0
871	86	1.0
872	4	1.0
872	238	1.0
873	139	1.0
873	4	1.0
874	298	1.0
874	410	1.0
875	122	1.0
